hestur;6179;kk;alm;hestur;NFET
hestur;6179;kk;alm;hesturinn;NFETgr
hestur;6179;kk;alm;hest;ÞFET
hestur;6179;kk;alm;hestinn;ÞFETgr
hestur;6179;kk;alm;hesti;ÞGFET
hestur;6179;kk;alm;hestinum;ÞGFETgr
hestur;6179;kk;alm;hests;EFET
hestur;6179;kk;alm;hestsins;EFETgr
hestur;6179;kk;alm;hestar;NFFT
hestur;6179;kk;alm;hestarnir;NFFTgr
hestur;6179;kk;alm;hesta;ÞFFT
hestur;6179;kk;alm;hestana;ÞFFTgr
hestur;6179;kk;alm;hestum;ÞGFFT
hestur;6179;kk;alm;hestunum;ÞGFFTgr
hestur;6179;kk;alm;hesta;EFFT
hestur;6179;kk;alm;hestanna;EFFTgr
